isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_development_methodologies,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency
10279,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,26.0,xs,52,52,2.0,2.0,,2.2,2.2,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,2.0,,,,,,,,,,,,Missing
10317,b,2015,government,government,business application,business application,enhancement,Missing,4GL,.net,8.0,xxs,816,816,102.0,102.0,0.0,7.3,,1.1,Missing,,agile development,3,Missing,Missing,Missing,Missing,0.0,,,,,,,,,,,81500.0,"european, euro"
10572,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,85.0,s,774,774,9.1,9.1,0.0,212.5,,0.4,Missing,,agile development,3,Missing,Missing,Missing,Missing,0.0,,,,,,,,,,,69850.0,"european, euro"
11278,a,2010,service industry,community services,business application,complex process control; workflow support_management,enhancement,multi,3GL,javascript,89.0,s,4036,4036,45.3,45.3,56.2,17.8,2.0,5.0,9-14,9.0,agile development,16,client-server,yes,Missing,yes,2.0,3.0,1.0,5.0,,0.0,5.0,4.0,3.0,0.0,3.0,,Missing
11497,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,31.0,s,88,88,2.8,2.8,,2.6,2.6,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,2.0,,,,,,,,,,,,Missing
11738,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,10.0,xs,29,29,2.9,2.9,,0.8,0.8,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,Missing,1.0,,,,,,,,,,,46868.0,Missing
11801,a,2009,government,government,Missing,idm,enhancement,multi,3GL,c#,63.0,s,2742,2742,43.5,43.5,47.6,6.3,0.8,10.0,5-8,8.0,agile development,18,multi-tier with web public interface,yes,Missing,yes,1.0,,,,-10.0,,,,,1.0,1.0,21236.0,Missing
12664,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,138.0,m1,682,682,4.9,4.9,0.0,345.0,,0.4,Missing,,agile development,3,Missing,Missing,Missing,yes,1.0,8.0,0.0,-2.0,-45.0,2.0,1.0,6.0,10.0,1.0,1.0,-240994.0,"european, euro"
13026,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,5.0,xxs,27,27,5.4,5.4,,0.4,0.4,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,1.0,8.0,0.0,-3.0,-61.0,1.0,1.0,6.0,11.0,1.0,1.0,-355350.0,Missing
13384,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,30.0,s,51,51,1.7,1.7,,2.5,2.5,12.0,1,1.0,agile development,6,stand-alone,Missing,tech_tf_web_development,tech_tf_dbms_used,,,,,,,,,,,,,Missing
13695,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,2.0,xxs,6,6,3.0,3.0,,0.2,0.2,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,Missing,1.0,9.0,-1.0,-4.0,-80.0,1.0,0.0,6.0,12.0,1.0,1.0,-517025.0,Missing
13784,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,14.0,xs,49,49,3.5,3.5,,1.2,1.2,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,Missing,1.0,10.0,-1.0,-4.0,-83.0,1.0,0.0,7.0,12.0,1.0,1.0,-544629.0,Missing
14319,b,2010,banking,banking,business application,auditing management,new development,proprietary,5GL,proprietary agile platform,748.0,m2,1518,1518,2.0,2.0,,249.3,,3.0,Missing,,agile development,5,multi-tier with web public interface,Missing,Missing,Missing,1.0,11.0,-1.0,-6.0,-107.0,1.0,0.0,7.0,14.0,1.0,2.0,-722077.0,Missing
14325,b,2009,government,government,business application,data warehouse system; financial transaction process_accounting; management or performance reporting,new development,mr,4GL,.net,498.0,m2,19795,19795,39.7,39.7,,27.7,1.3,18.0,21-30,22.0,agile development; unified process,18,client-server,yes,web,yes,1.0,11.0,-1.0,-6.0,-108.0,1.0,0.0,7.0,14.0,1.0,2.0,-724049.0,Missing
14335,a,2011,manufacturing,aerospace _ automotive,mathematically-intensive application,mathematical modelling_finance or eng; software development tool,re-development,pc,3GL,c#,456.0,m2,5408,5408,11.9,11.9,0.0,50.7,10.1,9.0,5-8,5.0,agile development,17,multi-tier with web public interface,yes,web,Missing,1.0,11.0,-1.0,-6.0,-108.0,1.0,0.0,7.0,14.0,1.0,2.0,-725035.0,Missing
14345,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,114.0,m1,429,429,3.8,3.8,,38.0,9.5,3.0,3-4,4.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,Missing,yes,1.0,11.0,-1.0,-6.0,-108.0,1.0,0.0,7.0,14.0,1.0,2.0,-727006.0,"canada, dollar"
14525,a,2010,service industry,community services; government; public administration,business application,catalogue_register of things or events,enhancement,multi,3GL,c#,695.0,m2,19606,19606,28.2,28.2,59.0,36.6,1.4,19.0,21-30,26.0,agile development; scrum,17,client-server,yes,web,Missing,1.0,11.0,-2.0,-6.0,-116.0,1.0,-1.0,7.0,14.0,1.0,2.0,-782213.0,Missing
14535,b,2009,education,education institution,business application,catalogue_register of things or events; logistic or supply planning_control,re-development,pc,3GL,c#,483.0,m2,331,331,0.7,0.7,,120.8,24.2,4.0,5-8,5.0,agile development,14,stand-alone,no,Missing,yes,1.0,11.0,-2.0,-6.0,-116.0,1.0,-1.0,7.0,14.0,1.0,2.0,-785170.0,Missing
14621,b,2008,service industry,food processing,business application,customer billing; financial transaction process_accounting,new development,pc,3GL,c++,23.0,xs,248,248,10.8,10.8,173.9,15.3,5.1,1.5,3-4,3.0,agile development,15,stand-alone,no,Missing,yes,1.0,11.0,-2.0,-7.0,-119.0,1.0,-1.0,7.0,14.0,1.0,2.0,-808830.0,"canada, dollar"
14928,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,88.0,s,551,551,6.3,6.3,0.0,220.0,,0.4,Missing,,agile development,3,Missing,Missing,Missing,Missing,1.0,12.0,-2.0,-7.0,-132.0,1.0,-1.0,8.0,15.0,1.0,2.0,-902484.0,"european, euro"
15011,b,2010,service industry,transport_storage,business application,auditing management,new development,proprietary,5GL,proprietary agile platform,257.0,m1,452,452,1.8,1.8,,85.7,,3.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,1.0,12.0,-2.0,-8.0,,1.0,-1.0,8.0,15.0,1.0,2.0,,Missing
15148,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,72.0,s,615,615,8.5,8.5,0.0,180.0,,0.4,Missing,,agile development,3,Missing,Missing,Missing,yes,1.0,,,,,,,,,,,-935016.0,"european, euro"
15558,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,45.0,s,1271,1271,28.2,28.2,0.0,32.1,,1.4,Missing,,agile development,3,Missing,Missing,Missing,Missing,1.0,13.0,-2.0,-9.0,-150.0,1.0,-1.0,8.0,16.0,1.0,2.0,-1060216.0,"european, euro"
15723,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,12.0,xs,34,34,2.8,2.8,,1.0,1.0,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,1.0,13.0,-3.0,-9.0,-157.0,0.0,-1.0,8.0,16.0,1.0,2.0,-1114436.0,Missing
16039,a,2010,Missing,all industry organization types,business application,security_authentication,enhancement,multi,3GL,c#,47.0,s,1002,1002,21.3,21.3,21.3,9.4,3.1,5.0,3-4,3.0,agile development,19,multi-tier with web public interface,yes,Missing,Missing,1.0,14.0,-3.0,-10.0,-170.0,0.0,-2.0,9.0,17.0,1.0,2.0,-1204147.0,Missing
16563,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,9.0,xxs,23,23,2.6,2.6,,0.8,0.8,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,1.0,15.0,-3.0,-11.0,-191.0,0.0,-2.0,9.0,18.0,1.0,2.0,-1363851.0,Missing
17137,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,51.0,s,1222,1222,24.0,24.0,0.0,72.9,,0.7,Missing,,agile development,3,Missing,Missing,Missing,Missing,2.0,16.0,-4.0,-12.0,-206.0,0.0,-3.0,10.0,19.0,2.0,2.0,-1494966.0,"european, euro"
17275,b,2010,service industry,transport_storage,business application,security controls,new development,proprietary,5GL,proprietary agile platform,168.0,m1,312,312,1.9,1.9,,56.0,,3.0,Missing,,agile development,5,multi-tier with web public interface,Missing,Missing,yes,2.0,16.0,-4.0,-13.0,-211.0,0.0,-3.0,10.0,19.0,2.0,2.0,-1535384.0,Missing
17293,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,59.0,s,82,82,1.4,1.4,,4.9,4.9,12.0,1,1.0,agile development,6,stand-alone,Missing,web,yes,2.0,16.0,-4.0,-13.0,-212.0,0.0,-3.0,10.0,19.0,2.0,2.0,-1542285.0,Missing
17548,b,2010,medical_health care,medical and health care,business application,clinical archive,new development,proprietary,5GL,proprietary agile platform,116.0,m1,112,112,1.0,1.0,,58.0,,2.0,Missing,,agile development,5,multi-tier with web public interface,Missing,Missing,Missing,2.0,17.0,-4.0,-13.0,-221.0,0.0,-3.0,10.0,20.0,2.0,2.0,-1610307.0,Missing
18118,a,2008,financial,"financial, property_business services",business application,customer billing_relationship management,re-development,pc,3GL,c#,912.0,m2,4110,4110,4.5,4.5,42.8,60.8,6.1,15.0,9-14,10.0,agile development,16,client-server,yes,Missing,Missing,2.0,18.0,-5.0,-15.0,-247.0,0.0,-4.0,11.0,21.0,2.0,2.0,-1797614.0,"canada, dollar"
18119,a,2010,government,government,Missing,idm,enhancement,multi,3GL,c#,109.0,m1,2715,2715,24.9,24.9,9.2,12.1,2.4,9.0,5-8,5.0,agile development,18,multi-tier with web public interface,yes,Missing,yes,2.0,18.0,-5.0,-15.0,-247.0,0.0,-4.0,11.0,21.0,2.0,2.0,-1798600.0,Missing
18328,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,19.0,xs,51,51,2.7,2.7,,1.6,1.6,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,2.0,19.0,-5.0,-16.0,-255.0,-1.0,-4.0,11.0,22.0,2.0,2.0,-1857750.0,Missing
18820,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,49.0,s,601,601,12.3,12.3,0.0,122.5,,0.4,Missing,,agile development,3,Missing,Missing,web,yes,2.0,19.0,-5.0,-17.0,,-1.0,-4.0,11.0,22.0,2.0,2.0,-1964219.0,"european, euro"
19161,b,2005,electronics_computers,information technology,Missing,web-based application,new development,Missing,3GL,java,,Missing,36593,60047,,,,,,14.8,41-50,41.0,agile development; iterative,1,Missing,Missing,web,yes,0.0,,,,,,,,,,,,Missing
19363,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,15.0,xs,53,53,3.5,3.5,,1.3,1.3,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,2.0,,,,,,,,,,,,Missing
19859,b,2012,service industry,surveillance_security,business application,electronic data interchange,enhancement,pc,3GL,c#,82.0,s,225,225,2.7,2.7,,,,,2,2.0,agile development,11,client-server,yes,Missing,yes,4.0,,2.0,,,,2.0,,3.0,0.0,0.0,,Missing
20465,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,95.0,s,632,632,6.7,6.7,0.0,237.5,,0.4,Missing,,agile development,3,Missing,Missing,Missing,Missing,0.0,,,,,,,,,,,57035.0,"european, euro"
21719,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,118.0,m1,489,489,4.1,4.1,,39.3,9.8,3.0,3-4,4.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,4.0,,,,,,4.0,,,0.0,0.0,15281.0,"canada, dollar"
21837,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,51.0,s,1102,1102,21.6,21.6,0.0,72.9,,0.7,Missing,,agile development,3,Missing,Missing,Missing,Missing,0.0,,,,,,,,,,,90300.0,"european, euro"
22069,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,37.0,s,125,125,3.4,3.4,,3.1,1.5,12.0,2,2.0,agile development,6,stand-alone,Missing,Missing,yes,2.0,,,,,,,,,,,,Missing
22347,a,2010,service industry,community services,business application,complex process control; workflow support_management,new development,multi,3GL,javascript,399.0,m2,7037,7037,17.6,17.6,22.6,49.9,4.5,8.0,9-14,11.0,agile development,16,client-server,yes,Missing,yes,2.0,0.0,3.0,8.0,,1.0,6.0,4.0,12.0,0.0,0.0,,Missing
23265,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,155.0,m1,491,491,3.2,3.2,,51.7,10.3,3.0,5-8,5.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,4.0,,,,,5.0,,,,0.0,0.0,14723.0,"canada, dollar"
23319,a,2011,manufacturing,aerospace _ automotive,real-time application,automated data acquisition,new development,pc,3GL,c#,113.0,m1,1047,1047,9.3,9.3,0.0,14.1,3.5,8.0,3-4,4.0,agile development,17,client-server,yes,Missing,Missing,5.0,2.0,0.0,0.0,,1.0,0.0,1.0,25.0,0.0,0.0,,Missing
23552,b,2010,wholesale_retail,consumer goods,business application,promotions,new development,proprietary,5GL,proprietary agile platform,243.0,m1,257,257,1.1,1.1,,121.5,,2.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,0.0,,,,,,,,,,,,Missing
24701,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,33.0,s,667,667,20.2,20.2,0.0,82.5,,0.4,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,60115.0,"european, euro"
25081,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,135.0,m1,600,600,4.4,4.4,,45.0,9.0,3.0,5-8,5.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,,,,,,,5.0,,,0.0,0.0,60000.0,"canada, dollar"
25247,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,13.0,xs,47,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
25415,b,2010,service industry,transport_storage,business application,airport management,new development,proprietary,5GL,proprietary agile platform,679.0,m2,326,326,0.5,0.5,,169.8,,4.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
25559,b,2012,service industry,surveillance_security,business application,electronic data interchange,enhancement,pc,3GL,c#,45.0,s,125,125,2.8,2.8,,,,,2,2.0,agile development,11,client-server,yes,Missing,yes,,1.0,1.0,,,,2.0,,3.0,0.0,0.0,,Missing
26034,b,2010,government,public sector,business application,project management,new development,proprietary,5GL,proprietary agile platform,143.0,m1,98,98,0.7,0.7,,28.6,,5.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
26195,a,2009,service industry,community services; institutions eg. kindergartens,business application,online analysis and reporting,enhancement,multi,4GL,abap,211.0,m1,4393,4393,20.8,20.8,,26.4,,8.0,Missing,,agile development,16,stand-alone,no,Missing,yes,,,8.0,,,8.0,,,8.0,0.0,0.0,,Missing
26585,b,2010,electronics_computers,high tech,Missing,proposal builder,new development,proprietary,5GL,proprietary agile platform,243.0,m1,289,289,1.2,1.2,,121.5,,2.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
26608,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,16.0,xs,860,860,53.8,53.8,0.0,22.9,,0.7,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,70600.0,"european, euro"
26861,b,2010,electronics_computers,high tech,business application,course management,new development,proprietary,5GL,proprietary agile platform,138.0,m1,87,87,0.6,0.6,,138.0,,1.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
27063,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,24.0,xs,79,79,3.3,3.3,,2.0,2.0,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
27281,b,2010,medical_health care,biotech,Missing,analysis management,new development,proprietary,5GL,proprietary agile platform,144.0,m1,117,117,0.8,0.8,,48.0,,3.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,,,,,,,,,,,,,Missing
27333,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,18.0,xs,47,47,2.6,2.6,,1.5,1.5,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
27500,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,25.0,xs,1206,1206,48.2,48.2,0.0,15.6,,1.6,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,120600.0,"european, euro"
27970,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,3.0,xxs,9,9,3.0,3.0,,0.3,0.3,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
28393,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,18.0,xs,38,38,2.1,2.1,,1.5,1.5,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
29221,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,21.0,xs,74,74,3.5,3.5,,1.8,1.8,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
29310,a,2008,medical_health care,medical and health care,business application,hospital information system,enhancement,pc,3GL,java,2003.0,l,47493,47493,23.7,23.7,14.0,200.3,2.9,10.0,61-70,68.0,agile development; joint application development_jad; multifunctional teams,17,client-server,yes,web,yes,,11.0,32.0,25.0,,17.0,33.0,18.0,15.0,1.0,12.0,,Missing
29471,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,142.0,m1,669,669,4.7,4.7,,47.3,9.5,3.0,5-8,5.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,,,,,,5.0,,,,0.0,0.0,7644.0,"canada, dollar"
30029,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,72.0,s,225,225,3.1,3.1,,6.0,3.0,12.0,2,2.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
30367,a,2009,service industry,community services; government,business application,catalogue_register of things or events,enhancement,multi,3GL,pl_i,117.0,m1,3549,3549,30.3,30.3,0.0,16.7,1.7,7.0,9-14,10.0,agile development,17,client-server,yes,Missing,yes,,0.0,4.0,6.0,,0.0,6.0,4.0,13.0,0.0,0.0,,Missing
30466,b,2014,government,government,business application,business application,enhancement,Missing,4GL,.net,4.0,xxs,684,684,171.0,171.0,0.0,5.7,,0.7,Missing,,agile development,3,Missing,Missing,Missing,Missing,,,,,,,,,,,,68200.0,"european, euro"
30621,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,13.0,xs,47,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
30658,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,160.0,m1,784,784,4.9,4.9,,53.3,10.7,3.0,5-8,5.0,agile development; personal software process_psp; unified process,18,multi-tier with web public interface,yes,web,yes,,,,,,5.0,,,,0.0,0.0,15680.0,"canada, dollar"
31103,b,2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,11.0,xs,43,43,3.9,3.9,,0.9,0.9,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
31166,a,2011,government,government,infrastructure software,data or database management,new development,pc,4GL,oracle,492.0,m2,1020,1105,2.1,2.2,,164.0,82.0,3.0,2,2.0,agile development,17,multi-tier with web public interface,yes,web,yes,,,,2.0,,,,2.0,45.0,0.0,1.0,765000.0,"european, euro"
31166,a,2011,government,government,infrastructure software,data or database management,new development,pc,4GL,oracle,422.0,m2,1020,1105,2.4,2.6,,140.7,70.3,3.0,2,2.0,agile development,18,multi-tier with web public interface,yes,web,yes,,,,2.0,,,,2.0,45.0,0.0,1.0,765000.0,"european, euro"
31969,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,15.0,xs,47,47,3.1,3.1,,1.3,1.3,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,,,,,,,,,,,,,Missing
32296,b,2010,utilities,energy,business application,customer relationship management,new development,proprietary,5GL,proprietary agile platform,1371.0,l,2274,2274,1.7,1.7,,342.8,,4.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,0.0,,,,,,,,,,,,Missing
32692,b,2010,education,education institution,business application,student_tests management,new development,proprietary,5GL,proprietary agile platform,995.0,m2,614,614,0.6,0.6,,199.0,,5.0,Missing,,agile development,5,multi-tier with web public interface,Missing,web,Missing,0.0,,,,,,,,,,,,Missing
32725,b,2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,16.0,xs,42,42,2.6,2.6,,1.3,1.3,12.0,1,1.0,agile development,6,stand-alone,Missing,Missing,yes,2.0,,,,,,,,,,,,Missing
