isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
10279,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,26.0,XS,52,52,2.0,2.0,,2.2,2.2,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
10317,B,2015,Government,government,Business Application,business application,Enhancement,,4GL,.Net,8.0,XXS,816,816,102.0,102.0,0.0,7.3,,1.1,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,81500.0,"European, euro",No
10572,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,85.0,S,774,774,9.1,9.1,0.0,212.5,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,69850.0,"European, euro",No
11278,A,2010,Service Industry,community services,Business Application,complex process control; workflow support & management,Enhancement,Multi,3GL,JavaScript,89.0,S,4036,4036,45.3,45.3,56.2,17.8,2.0,5.0,9-14,9.0,No,agile development,,16,Client server,Yes,data entry & validation; data retrieval & presentation; web/html browser,html/web server; security/authentication,,,,Yes,2,,3.0,1.0,5.0,,,,0.0,5.0,4.0,3.0,0.0,3.0,,,
11497,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,31.0,S,88,88,2.8,2.8,,2.6,2.6,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
11738,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,10.0,XS,29,29,2.9,2.9,,0.8,0.8,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
11801,A,2009,Government,government,,idm,Enhancement,Multi,3GL,C#,63.0,S,2742,2742,43.5,43.5,47.6,6.3,0.8,10.0,5-8,8.0,,agile development,,18,Multi-tier with web public interface,Yes,web public interface,multi-user legacy application,,,Web,Yes,3,,8.0,0.0,0.0,,,,2.0,2.0,4.0,1.0,1.0,0.0,,,
12664,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,138.0,M1,682,682,4.9,4.9,0.0,345.0,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,61435.0,"European, euro",No
13026,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,5.0,XXS,27,27,5.4,5.4,,0.4,0.4,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
13384,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,30.0,S,51,51,1.7,1.7,,2.5,2.5,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
13695,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,2.0,XXS,6,6,3.0,3.0,,0.2,0.2,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
13784,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,14.0,XS,49,49,3.5,3.5,,1.2,1.2,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
14319,B,2010,Banking,banking,Business Application,auditing management,New Development,Proprietary,5GL,Proprietary Agile Platform,748.0,M2,1518,1518,2.0,2.0,,249.3,,3.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
14325,B,2009,Government,government,Business Application,data warehouse system; financial transaction process/accounting; management or performance reporting,New Development,MR,4GL,.Net,498.0,M2,19795,19795,39.7,39.7,,27.7,1.3,18.0,21-30,22.0,,agile development; unified process,,18,Client server,Yes,data entry & validation; data retrieval & presentation; run a computer-human interface; security; web/html browser,database server; file/print server; html/web server; multi-user legacy application,,,,,2,,,,,,,,,,,,0.0,1.0,,,
14335,A,2011,Manufacturing,aerospace / automotive,Mathematically-Intensive Application,mathematical modelling (finance or eng.); software development tool,Re-development,PC,3GL,C#,456.0,M2,5408,5408,11.9,11.9,0.0,50.7,10.1,9.0,5-8,5.0,Yes,agile development,,17,Multi-tier with web public interface,Yes,data entry & validation; run a computer-human interface; web public interface,database server; html/web server; mail server; security/authentication,,,Web,Yes,7,,0.0,1.0,2.0,,,,1.0,2.0,0.0,3.0,1.0,1.0,,,
14345,A,2009,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,114.0,M1,429,429,3.8,3.8,,38.0,9.5,3.0,3-4,4.0,,agile development; personal software process (psp); unified process,,18,Multi-tier with web public interface,Yes,web/html browser,security/authentication,,,Web,Yes,4,,,,,,,,4.0,,,,0.0,0.0,17160.0,"Canada, dollar",
14525,A,2010,Service Industry,community services; government; public administration,Business Application,catalogue/register of things or events,Enhancement,Multi,3GL,C#,695.0,M2,19606,19606,28.2,28.2,59.0,36.6,1.4,19.0,21-30,26.0,,agile development,,17,Client server,Yes,business logic or rule processing; data entry & validation; data retrieval & presentation,database server,,,,Yes,2,,5.0,5.0,16.0,,,,2.0,0.0,24.0,10.0,2.0,2.0,,,
14535,B,2009,Education,education institution,Business Application,catalogue/register of things or events; logistic or supply planning & control,Re-development,PC,3GL,C#,483.0,M2,331,331,0.7,0.7,,120.8,24.2,4.0,5-8,5.0,No,agile development,,14,Stand alone,No,,,,,,Yes,2,,6.0,0.0,1.0,,,,1.0,3.0,3.0,,1.0,1.0,,,
14621,B,2008,Service Industry,food processing,Business Application,customer billing; financial transaction process/accounting,New Development,PC,3GL,C++,23.0,XS,248,248,10.8,10.8,173.9,15.3,5.1,1.5,3-4,3.0,No,agile development,,15,Stand alone,No,,,,,,Yes,2,,,2.0,1.0,,,,1.0,1.0,1.0,20.0,0.0,0.0,4871.0,"Canada, dollar",
14928,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,88.0,S,551,551,6.3,6.3,0.0,220.0,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,49753.0,"European, euro",No
15011,B,2010,Service Industry,transport & storage,Business Application,auditing management,New Development,Proprietary,5GL,Proprietary Agile Platform,257.0,M1,452,452,1.8,1.8,,85.7,,3.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
15148,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,72.0,S,615,615,8.5,8.5,0.0,180.0,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,55440.0,"European, euro",No
15558,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,.Net,45.0,S,1271,1271,28.2,28.2,0.0,32.1,,1.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,104200.0,"European, euro",No
15723,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,12.0,XS,34,34,2.8,2.8,,1.0,1.0,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
16039,A,2010,,all industry organization types,Business Application,security/authentication,Enhancement,Multi,3GL,C#,47.0,S,1002,1002,21.3,21.3,21.3,9.4,3.1,5.0,3-4,3.0,No,agile development,Yes,19,Multi-tier with web public interface,Yes,,html/web server; security/authentication,,,Web,,4,,0.0,0.0,3.0,,,,0.0,2.0,1.0,3.0,0.0,0.0,,,
16563,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,9.0,XXS,23,23,2.6,2.6,,0.8,0.8,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
17137,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,.Net,51.0,S,1222,1222,24.0,24.0,0.0,72.9,,0.7,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,100200.0,"European, euro",No
17275,B,2010,Service Industry,transport & storage,Business Application,security controls,New Development,Proprietary,5GL,Proprietary Agile Platform,168.0,M1,312,312,1.9,1.9,,56.0,,3.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
17293,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,59.0,S,82,82,1.4,1.4,,4.9,4.9,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
17548,B,2010,Medical & Health Care,medical and health care,Business Application,clinical archive,New Development,Proprietary,5GL,Proprietary Agile Platform,116.0,M1,112,112,1.0,1.0,,58.0,,2.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
18118,A,2008,Financial,"financial, property & business services",Business Application,customer billing/relationship management,Re-development,PC,3GL,C#,912.0,M2,4110,4110,4.5,4.5,42.8,60.8,6.1,15.0,9-14,10.0,Yes,agile development,Yes,16,Client server,Yes,business logic or rule processing; database server; run a computer-human interface,database server; file/print server; html/web server; mail server; security/authentication,,,,Yes,5,,0.0,5.0,5.0,,,,0.0,6.0,4.0,200.0,0.0,1.0,,"Canada, dollar",No
18119,A,2010,Government,government,,idm,Enhancement,Multi,3GL,C#,109.0,M1,2715,2715,24.9,24.9,9.2,12.1,2.4,9.0,5-8,5.0,No,agile development,,18,Multi-tier with web public interface,Yes,web public interface,html/web server; multi-user legacy application,,,Web,Yes,3,,0.0,4.0,1.0,,,,0.0,4.0,1.0,5.0,0.0,0.0,,,
18328,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,19.0,XS,51,51,2.7,2.7,,1.6,1.6,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
18820,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,49.0,S,601,601,12.3,12.3,0.0,122.5,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,54230.0,"European, euro",No
19161,B,2005,Electronics & Computers,information technology,,web-based application,New Development,,3GL,Java,,,36593,60047,,,,,,14.8,41-50,41.0,,agile development; iterative,,1,,,,,,,Web,Yes,0,,,,,,,,,,,,,,,,
19363,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,15.0,XS,53,53,3.5,3.5,,1.3,1.3,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
19859,B,2012,Service Industry,surveillance & security,Business Application,electronic data interchange,Enhancement,PC,3GL,C#,82.0,S,225,225,2.7,2.7,,,,,2,2.0,,agile development,,11,Client server,Yes,business logic or rule processing; data entry & validation; data retrieval & presentation; run a computer-human interface,database server,,,,Yes,4,,,2.0,,,,,,2.0,,3.0,0.0,0.0,,,
20465,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,95.0,S,632,632,6.7,6.7,0.0,237.5,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,57035.0,"European, euro",No
21719,A,2009,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,118.0,M1,489,489,4.1,4.1,,39.3,9.8,3.0,3-4,4.0,,agile development; personal software process (psp); unified process,,18,Multi-tier with web public interface,Yes,web/html browser,security/authentication,,,Web,Yes,4,,,,,,,,,4.0,,,0.0,0.0,15281.0,"Canada, dollar",
21837,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,.Net,51.0,S,1102,1102,21.6,21.6,0.0,72.9,,0.7,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,90300.0,"European, euro",No
22069,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,37.0,S,125,125,3.4,3.4,,3.1,1.5,12.0,2,2.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
22347,A,2010,Service Industry,community services,Business Application,complex process control; workflow support & management,New Development,Multi,3GL,JavaScript,399.0,M2,7037,7037,17.6,17.6,22.6,49.9,4.5,8.0,9-14,11.0,No,agile development,,16,Client server,Yes,data entry & validation; data retrieval & presentation; web/html browser,html/web server; security/authentication,,,,Yes,2,,0.0,3.0,8.0,,,,1.0,6.0,4.0,12.0,0.0,0.0,,,
23265,A,2009,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,155.0,M1,491,491,3.2,3.2,,51.7,10.3,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,Multi-tier with web public interface,Yes,web/html browser,security/authentication,,,Web,Yes,4,,,,,,,,5.0,,,,0.0,0.0,14723.0,"Canada, dollar",
23319,A,2011,Manufacturing,aerospace / automotive,Real-Time Application,automated data acquisition,New Development,PC,3GL,C#,113.0,M1,1047,1047,9.3,9.3,0.0,14.1,3.5,8.0,3-4,4.0,Yes,agile development,,17,Client server,Yes,data entry & validation; data retrieval & presentation; device/equipment interface,data acquisation,,,,,5,,2.0,0.0,0.0,,,,1.0,0.0,1.0,25.0,0.0,0.0,,,
23552,B,2010,Wholesale & Retail,consumer goods,Business Application,promotions,New Development,Proprietary,5GL,Proprietary Agile Platform,243.0,M1,257,257,1.1,1.1,,121.5,,2.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
23839,C,2008,Education,education institution,Business Application,management information system,New Development,PC,3GL,C#,1107.0,L,52743,52743,47.6,47.6,,221.4,4.8,5.0,41-50,46.0,Yes,agile development; multifunctional teams,,15,Client server,Yes,web public interface,database server; html/web server,,,Web,Yes,6,,1.0,0.0,0.0,,,,22.0,24.0,0.0,5.0,0.0,2.0,,,
24701,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,33.0,S,667,667,20.2,20.2,0.0,82.5,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,60115.0,"European, euro",No
25081,A,2009,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,135.0,M1,600,600,4.4,4.4,,45.0,9.0,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,Multi-tier with web public interface,Yes,web/html browser,security/authentication,,,Web,Yes,4,,,,,,,,,5.0,,,0.0,0.0,60000.0,"Canada, dollar",
25247,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,13.0,XS,47,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
25415,B,2010,Service Industry,transport & storage,Business Application,airport management,New Development,Proprietary,5GL,Proprietary Agile Platform,679.0,M2,326,326,0.5,0.5,,169.8,,4.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
25559,B,2012,Service Industry,surveillance & security,Business Application,electronic data interchange,Enhancement,PC,3GL,C#,45.0,S,125,125,2.8,2.8,,,,,2,2.0,,agile development,,11,Client server,Yes,business logic or rule processing; data entry & validation; data retrieval & presentation; run a computer-human interface,database server,,,,Yes,4,,1.0,1.0,,,,,,2.0,,3.0,0.0,0.0,,,
26034,B,2010,Government,public sector,Business Application,project management,New Development,Proprietary,5GL,Proprietary Agile Platform,143.0,M1,98,98,0.7,0.7,,28.6,,5.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
26195,A,2009,Service Industry,community services; institutions eg. kindergartens,Business Application,online analysis and reporting,Enhancement,Multi,4GL,ABAP,211.0,M1,4393,4393,20.8,20.8,,26.4,,8.0,,,No,agile development,,16,Stand alone,No,,,,,,Yes,2,,,8.0,,,,,8.0,,,8.0,0.0,0.0,,,
26585,B,2010,Electronics & Computers,high tech,,proposal builder,New Development,Proprietary,5GL,Proprietary Agile Platform,243.0,M1,289,289,1.2,1.2,,121.5,,2.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
26608,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,.Net,16.0,XS,860,860,53.8,53.8,0.0,22.9,,0.7,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,70600.0,"European, euro",No
26861,B,2010,Electronics & Computers,high tech,Business Application,course management,New Development,Proprietary,5GL,Proprietary Agile Platform,138.0,M1,87,87,0.6,0.6,,138.0,,1.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
27063,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,24.0,XS,79,79,3.3,3.3,,2.0,2.0,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
27281,B,2010,Medical & Health Care,biotech,,analysis management,New Development,Proprietary,5GL,Proprietary Agile Platform,144.0,M1,117,117,0.8,0.8,,48.0,,3.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
27333,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,18.0,XS,47,47,2.6,2.6,,1.5,1.5,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
27500,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,.Net,25.0,XS,1206,1206,48.2,48.2,0.0,15.6,,1.6,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,120600.0,"European, euro",No
27970,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,3.0,XXS,9,9,3.0,3.0,,0.3,0.3,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
28393,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,18.0,XS,38,38,2.1,2.1,,1.5,1.5,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
29221,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,21.0,XS,74,74,3.5,3.5,,1.8,1.8,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
29310,A,2008,Medical & Health Care,medical and health care,Business Application,hospital information system,Enhancement,PC,3GL,Java,2003.0,L,47493,47493,23.7,23.7,14.0,200.3,2.9,10.0,61-70,68.0,Yes,agile development; joint application development (jad); multifunctional teams,Yes,17,Client server,Yes,data entry & validation; data retrieval & presentation; run a computer-human interface; web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,Yes,9,,11.0,32.0,25.0,,,,17.0,33.0,18.0,15.0,1.0,12.0,,,
29471,A,2009,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,142.0,M1,669,669,4.7,4.7,,47.3,9.5,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,Multi-tier with web public interface,Yes,web/html browser,security/authentication,,,Web,Yes,4,,,,,,,,5.0,,,,0.0,0.0,7644.0,"Canada, dollar",
30029,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,72.0,S,225,225,3.1,3.1,,6.0,3.0,12.0,2,2.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
30367,A,2009,Service Industry,community services; government,Business Application,catalogue/register of things or events,Enhancement,Multi,3GL,PL/I,117.0,M1,3549,3549,30.3,30.3,0.0,16.7,1.7,7.0,9-14,10.0,No,agile development,Yes,17,Client server,Yes,,,,,,Yes,2,,0.0,4.0,6.0,,,,0.0,6.0,4.0,13.0,0.0,0.0,,,
30466,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,.Net,4.0,XXS,684,684,171.0,171.0,0.0,5.7,,0.7,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,68200.0,"European, euro",No
30621,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,13.0,XS,47,47,3.6,3.6,,1.1,1.1,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
30658,A,2009,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,160.0,M1,784,784,4.9,4.9,,53.3,10.7,3.0,5-8,5.0,,agile development; personal software process (psp); unified process,,18,Multi-tier with web public interface,Yes,web/html browser,security/authentication,,,Web,Yes,4,,,,,,,,5.0,,,,0.0,0.0,15680.0,"Canada, dollar",
31103,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,11.0,XS,43,43,3.9,3.9,,0.9,0.9,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
31166,A,2011,Government,government,Infrastructure Software,data or database management,New Development,PC,4GL,Oracle,492.0,M2,1020,1105,2.1,2.2,,164.0,82.0,3.0,2,2.0,Yes,agile development,,17,Multi-tier with web public interface,Yes,web/html browser,database server; html/web server,,,Web,Yes,1,,,,2.0,,,,,,2.0,45.0,0.0,1.0,765000.0,"European, euro","Yes 10,000"
31166,A,2011,Government,government,Infrastructure Software,data or database management,New Development,PC,4GL,Oracle,422.0,M2,1020,1105,2.4,2.6,,140.7,70.3,3.0,2,2.0,Yes,agile development,,18,Multi-tier with web public interface,Yes,web/html browser,database server; html/web server,,,Web,Yes,1,,,,2.0,,,,,,2.0,45.0,0.0,1.0,765000.0,"European, euro","Yes 10,000"
31969,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,15.0,XS,47,47,3.1,3.1,,1.3,1.3,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
32010,D,2013,Manufacturing,"banking; communications; community services; construction; defence; education institution; financial, property & business services; government; manufacturing; medical and health care; professional; real estate & property; transport & storage; wholesale & retail trade",Business Application,"catalogue/register of things or events; customer billing; financial transaction process/accounting; job, case, incident, project management; management or performance reporting; mathematical modelling; online analysis and reporting; workflow support & management",New Development,PC,3GL,C#,5393.0,XL,400,460,0.1,0.1,1.9,2157.2,2157.2,2.5,1,1.0,Yes,agile development; extreme programming (xp); imes oom; iterative; rapid application development (rad); timeboxing; unified process,Yes,20,Stand alone,No,,,,,Web,Yes,7,,0.0,0.0,1.0,,,,0.0,0.0,1.0,3.0,0.0,0.0,277000.0,"United States, dollar",No
32296,B,2010,Utilities,energy,Business Application,customer relationship management,New Development,Proprietary,5GL,Proprietary Agile Platform,1371.0,L,2274,2274,1.7,1.7,,342.8,,4.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
32692,B,2010,Education,education institution,Business Application,student & tests management,New Development,Proprietary,5GL,Proprietary Agile Platform,995.0,M2,614,614,0.6,0.6,,199.0,,5.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
32725,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,16.0,XS,42,42,2.6,2.6,,1.3,1.3,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
