project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_type,project_prf_functional_size,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,people_prf_personnel_changes,project_prf_application_group_business_application,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_real_time_application,project_prf_development_type_new_development,project_prf_development_type_re_development,tech_tf_development_platform_mr,tech_tf_development_platform_multi,tech_tf_development_platform_pc,tech_tf_development_platform_proprietary,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_primary_programming_language_abap,tech_tf_primary_programming_language_c_,tech_tf_primary_programming_language_c__,tech_tf_primary_programming_language_java,tech_tf_primary_programming_language_javascript,tech_tf_primary_programming_language_oracle,tech_tf_primary_programming_language_pl_i,tech_tf_primary_programming_language_proprietary_agile_platform,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_s,project_prf_relative_size_xs,project_prf_relative_size_xxs,project_prf_team_size_group_2,project_prf_team_size_group_21_30,project_prf_team_size_group_3_4,project_prf_team_size_group_41_50,project_prf_team_size_group_5_8,project_prf_team_size_group_61_70,project_prf_team_size_group_9_14,project_prf_team_size_group_Missing,process_pmf_development_methodologies_agile_development__iterative,process_pmf_development_methodologies_agile_development__joint_application_development_jad__multifunctional_teams,process_pmf_development_methodologies_agile_development__personal_software_process_psp__unified_process,process_pmf_development_methodologies_agile_development__scrum,process_pmf_development_methodologies_agile_development__unified_process,tech_tf_architecture_client_server,tech_tf_architecture_multi_tier_with_web_public_interface,tech_tf_architecture_stand_alone,tech_tf_client_server_no,tech_tf_client_server_yes,tech_tf_web_development_tech_tf_web_development,tech_tf_web_development_web,tech_tf_dbms_used_tech_tf_dbms_used,tech_tf_dbms_used_yes,project_prf_cost_currency_canada__dollar,project_prf_cost_currency_european__euro
2010,government,government,idm,109.0,5.0,18,2.0,2.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
2011,manufacturing,aerospace _ automotive,mathematical modelling_finance or eng; software development tool,456.0,5.0,17,1.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
2011,government,government,data or database management,422.0,2.0,18,,1.0,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True
2010,service industry,community services; government; public administration,catalogue_register of things or events,695.0,26.0,17,1.0,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
2014,government,government,business application,51.0,,3,2.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2014,government,government,business application,88.0,,3,1.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2009,education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,160.0,5.0,18,,0.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False
2009,government,government,idm,63.0,8.0,18,1.0,1.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
2008,medical_health care,medical and health care,hospital information system,2003.0,68.0,17,,12.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
2010,government,public sector,project management,143.0,,5,,,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,13.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2009,education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,114.0,4.0,18,1.0,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False
2008,service industry,food processing,customer billing; financial transaction process_accounting,23.0,3.0,15,1.0,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False
2009,government,government,data warehouse system; financial transaction process_accounting; management or performance reporting,498.0,22.0,18,1.0,2.0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False
2014,government,government,business application,45.0,,3,1.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,2.0,1.0,6,1.0,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,3.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,14.0,1.0,6,1.0,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,26.0,1.0,6,2.0,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,10.0,1.0,6,1.0,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2009,education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,155.0,5.0,18,4.0,0.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False
2010,service industry,community services,complex process control; workflow support_management,89.0,9.0,16,2.0,3.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,37.0,2.0,6,2.0,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2010,banking,banking,auditing management,748.0,,5,1.0,2.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2010,electronics_computers,high tech,course management,138.0,,5,,,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2005,electronics_computers,information technology,web-based application,,41.0,1,0.0,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2010,service industry,transport_storage,security controls,168.0,,5,2.0,2.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2008,financial,"financial, property_business services",customer billing_relationship management,912.0,10.0,16,2.0,2.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
2014,government,government,business application,72.0,,3,1.0,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2014,government,government,business application,49.0,,3,2.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
2009,education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,118.0,4.0,18,4.0,0.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False
2010,electronics_computers,high tech,proposal builder,243.0,,5,,,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,59.0,1.0,6,2.0,2.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,15.0,1.0,6,2.0,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2010,service industry,community services,complex process control; workflow support_management,399.0,11.0,16,2.0,0.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2014,government,government,business application,138.0,,3,1.0,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2010,service industry,transport_storage,airport management,679.0,,5,,,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2010,medical_health care,biotech,analysis management,144.0,,5,,,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,15.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2010,service industry,transport_storage,auditing management,257.0,,5,1.0,2.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2009,service industry,community services; government,catalogue_register of things or events,117.0,10.0,17,,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2014,government,government,business application,51.0,,3,0.0,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2014,government,government,business application,85.0,,3,0.0,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,24.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2012,service industry,surveillance_security,electronic data interchange,45.0,2.0,11,,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2012,service industry,surveillance_security,electronic data interchange,82.0,2.0,11,4.0,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,9.0,1.0,6,1.0,2.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2009,education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,135.0,5.0,18,,0.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,19.0,1.0,6,2.0,2.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,13.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,18.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2009,education,education institution,catalogue_register of things or events; logistic or supply planning_control,483.0,5.0,14,1.0,2.0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2014,government,government,business application,4.0,,3,,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2014,government,government,business application,16.0,,3,,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,72.0,2.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,11.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,31.0,1.0,6,2.0,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,18.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,12.0,1.0,6,1.0,2.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2010,medical_health care,medical and health care,clinical archive,116.0,,5,2.0,2.0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,21.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,5.0,1.0,6,1.0,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2010,utilities,energy,customer relationship management,1371.0,,5,0.0,,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2012,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,30.0,1.0,6,,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
2010,education,education institution,student_tests management,995.0,,5,0.0,,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2010,wholesale_retail,consumer goods,promotions,243.0,,5,0.0,,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2010,Missing,all industry organization types,security_authentication,47.0,3.0,19,1.0,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2013,banking,banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,surveillance and security,16.0,1.0,6,2.0,,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2009,education,"education institution; electricity, gas, water; ieee",content management system; dynamic website,142.0,5.0,18,,0.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False
2011,government,government,data or database management,492.0,2.0,17,,1.0,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True
2011,manufacturing,aerospace _ automotive,automated data acquisition,113.0,4.0,17,5.0,0.0,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2009,service industry,community services; institutions eg. kindergartens,online analysis and reporting,211.0,,16,,0.0,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2015,government,government,business application,8.0,,3,0.0,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2014,government,government,business application,95.0,,3,0.0,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2014,government,government,business application,33.0,,3,,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2014,government,government,business application,25.0,,3,,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
